Year,Country,GearCode,Tonnage,MainSpecies,Divcode,Code,Effort,Month_NK,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,DateCreated
2007,34,10,6,99,34,186,1,0,0,0,0,0,0,1,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,169,1,0,0,0,0,42,61,1,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,103,1,0,0,0,0,2,11,1,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,188,1,0,0,0,0,1,12,10,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,459,1,0,0,0,0,1,0,0,0,0,0,0,0,0,29-Mar-11
2007,34,10,6,99,34,479,1,0,0,0,0,28,230,37,0,45,211,76,0,0,29-Mar-11
2007,34,10,6,99,34,199,1,0,0,0,0,29,3,0,0,0,5,2,0,0,29-Mar-11
2007,34,10,6,99,35,1,1,0,0,0,0,0,38,21,0,56,48,57,0,0,29-Mar-11
2007,34,10,6,99,35,2,1,0,0,0,0,0,4,2,0,3,3,4,0,0,29-Mar-11
2007,34,10,6,99,35,3,1,0,0,0,0,0,4,2,0,3,3,4,0,0,29-Mar-11
2007,34,10,6,99,35,114,1,0,0,0,0,0,0,1,0,1,1,1,0,0,29-Mar-11
2007,34,10,6,99,35,112,1,0,0,0,0,0,1,1,0,1,1,1,0,0,29-Mar-11
